Book_page,Year,Site,Nest_ID,Egg_num,Length,Width
b14.6,2014,chur,14EP01,4,32.5,24.6
b14.6,2014,chur,14EP02,1,32.7,24.4
b14.6,2014,chur,14EP02,2,32.0,23.9
b14.6,2014,chur,14EP02,3,33.4,24.0
b14.6,2014,chur,14EP02,4,32.6,24.3
b14.6,2014,chur,14EP03,1,32.0,24.6
b14.6,2014,chur,14EP03,2,32.0,24.4
b14.6,2014,chur,14EP03,3,32.8,24.6
b14.6,2014,chur,14MP04,1,34.9,24.8
b14.6,2014,chur,14MP04,2,33.2,24.4
b14.6,2014,chur,14MP04,3,34.2,24.8
b14.6,2014,chur,14MP04,4,33.0,25.0
b14.6,2014,chur,14BC01,1,30.6,24.1
b14.6,2014,chur,14BC01,2,32.9,25.3
b14.6,2014,chur,14BC01,3,30.8,24.5
b14.6,2014,chur,14BC01,4,31.6,24.8
b14.6,2014,chur,14GB01,1,33.6,23.5
b14.6,2014,chur,14GB01,2,33.6,24.1
b14.6,2014,chur,14GB01,3,32.7,23.5
b14.6,2014,chur,14GB01,4,34.6,24.0
b14.6,2014,chur,14PR01,1,32.6,24.1
b14.6,2014,chur,14PR01,2,33.9,25.0
b14.6,2014,chur,14PR01,3,34.0,25.1
b14.6,2014,chur,14PR01,4,32.6,24.5
b14.6,2014,chur,14GB02,1,33.3,24.4
b14.6,2014,chur,14GB02,2,33.1,24.3
b14.6,2014,chur,14GB02,3,31.8,24.5
b14.6,2014,chur,14GB02,4,33.0,23.8
b14.6,2014,chur,14GB03,1,32.1,23.6
b14.6,2014,chur,14GB03,2,31.4,24.0
b14.6,2014,chur,14GB03,3,32.3,23.5
b14.6,2014,chur,14GB03,4,31.5,23.5
b14.6,2014,chur,14MP05,1,31.7,24.4
b14.6,2014,chur,14MP05,2,32.1,24.1
b14.6,2014,chur,14MP05,3,32.0,24.8
b14.6,2014,chur,14MP05,4,31.1,24.8
b14.6,2014,chur,14DB02,1,33.3,23.8
b14.6,2014,chur,14DB02,2,31.9,23.1
b14.6,2014,chur,14DB02,3,32.2,23.3
b14.6,2014,chur,14LL04,1,32.5,23.8
b14.6,2014,chur,14LL04,2,32.6,24.4
b14.6,2014,chur,14LL04,3,32.2,23.8
b14.6,2014,chur,14LL04,4,32.2,24.1
b14.7,2014,chur,14PR02,1,34.2,24.3
b14.7,2014,chur,14PR02,2,32.2,23.9
b14.7,2014,chur,14PR02,3,33.2,24.2
b14.7,2014,chur,14PR02,4,31.8,24.3
b14.7,2014,chur,14CD01,1,33.2,24.1
b14.7,2014,chur,14CD01,2,33.5,24.1
b14.7,2014,chur,14CD01,3,33.3,24.7
b14.7,2014,chur,14CD01,4,33.6,24.2
b14.7,2014,chur,14PB04,1,34.1,24.3
b14.7,2014,chur,14PB04,2,34.6,23.7
b14.7,2014,chur,14PB04,3,34.4,24.2
b14.7,2014,chur,14EP04,1,32.3,24.9
b14.7,2014,chur,14EP04,2,32.7,24.3
b14.7,2014,chur,14EP04,3,31.7,24.6
b13.6,2013,chur,13PR01,1,33.93,22.77
b13.6,2013,chur,13PR01,2,31.53,22.51
b13.6,2013,chur,13PR01,3,32.09,22.79
b13.6,2013,chur,13PR01,4,30.52,22.83
b13.6,2013,chur,13DB01,1,34.61,24.77
b13.6,2013,chur,13DB01,2,31.23,25.0
b13.6,2013,chur,13DB01,3,32.23,24.69
b13.6,2013,chur,13DB01,4,31.4,25.61
b13.6,2013,chur,13LL01,1,31.57,22.85
b13.6,2013,chur,13LL01,2,31.8,22.87
b13.6,2013,chur,13LL01,3,30.07,23.24
b13.6,2013,chur,13LL01,4,31.08,22.69
b13.6,2013,chur,13MP01,1,33.16,24.75
b13.6,2013,chur,13MP01,2,33.96,24.7
b13.6,2013,chur,13MP01,3,32.98,24.03
b13.6,2013,chur,13MP01,4,32.27,24.21
b13.6,2013,chur,13PR02,1,33.16,24.75
b13.6,2013,chur,13PR02,2,33.96,24.7
b13.6,2013,chur,13PR02,3,32.98,24.03
b13.6,2013,chur,13PR02,4,32.27,24.21
b13.6,2013,chur,13PR03,1,31.73,22.78
b13.6,2013,chur,13PR03,2,34.2,23.03
b13.6,2013,chur,13PR03,3,32.99,22.82
b13.6,2013,chur,13PR03,4,33.47,23.05
b13.6,2013,chur,13LL02,1,31.52,23.41
b13.6,2013,chur,13LL02,2,31.44,25.1
b13.6,2013,chur,13LL02,3,30.2,24.25
b13.6,2013,chur,13LL02,4,30.93,24.96
b13.6,2013,chur,13LL03,1,31.6,24.53
b13.6,2013,chur,13LL03,2,32.01,24.06
b13.6,2013,chur,13LL03,3,31.86,23.59
b13.6,2013,chur,13LL03,4,31.72,23.72
b13.6,2013,chur,13MP03,1,32.69,24.46
b13.6,2013,chur,13MP03,2,32.52,23.72
b13.6,2013,chur,13MP03,3,30.94,24.11
b13.6,2013,chur,13MP03,4,32.16,24.2
b13.6,2013,chur,13HP01,1,32.84,24.67
b13.6,2013,chur,13HP01,2,31.26,24.38
b13.6,2013,chur,13HP01,3,31.78,24.82
b13.6,2013,chur,13HP01,4,31.8,24.46
b13.6,2013,chur,13GB01,1,34.13,23.84
b13.6,2013,chur,13GB01,2,33.44,24.56
b13.6,2013,chur,13GB01,3,34.17,24.45
b13.6,2013,chur,13GB01,4,33.15,24.74
b13.6,2013,chur,13TL01,1,31.5,24.51
b13.6,2013,chur,13TL01,2,31.69,24.26
b13.6,2013,chur,13TL01,3,31.74,23.83
b13.6,2013,chur,13TL01,4,30.3,24.21
b13.6,2013,chur,13BC01,1,32.86,23.67
b13.6,2013,chur,13BC01,2,32.99,23.43
b13.6,2013,chur,13BC01,3,33.31,22.23
b13.6,2013,chur,13BC01,4,31.45,23.52
b13.6,2013,chur,13MP04,1,31.08,24.31
b13.6,2013,chur,13MP04,2,31.7,23.69
b13.6,2013,chur,13MP04,3,32.26,23.78
b13.6,2013,chur,13MP06,1,33.13,23.72
b13.6,2013,chur,13MP06,2,32.77,24.05
b13.6,2013,chur,13MP06,3,33.52,23.94
b13.6,2013,chur,13MP06,4,32.72,24.38
b13.6,2013,chur,13GB02,1,32.89,25.51
b13.6,2013,chur,13GB02,2,32.45,24.64
b13.6,2013,chur,13GB02,3,32.54,24.76
b13.6,2013,chur,13GB02,4,33.65,24.97
b13.6,2013,chur,13LL04,1,30.47,23.62
b13.6,2013,chur,13LL04,2,33.46,24.05
b13.6,2013,chur,13LL04,3,33.18,24.21
b13.6,2013,chur,13LL04,4,32.42,24.08
b13.6,2013,chur,13GB03,1,31.87,24.02
b13.6,2013,chur,13GB03,2,33.14,24.47
b13.6,2013,chur,13GB03,3,34.56,23.38
b13.6,2013,chur,13GB03,4,32.95,23.91
b13.6,2013,chur,13GB04,1,31.69,24.62
b13.6,2013,chur,13GB04,2,31.98,24.11
b13.6,2013,chur,13GB04,3,32.19,23.72
b13.6,2013,chur,13GB04,4,31.56,24.31
b13.6,2013,chur,13MP01R,1,32.04,22.92
b13.6,2013,chur,13MP01R,2,31.22,23.08
b13.6,2013,chur,13MP01R,3,31.23,23.48
b13.6,2013,chur,13MP01R,4,31.81,22.8
b13.6,2013,chur,13MP02R,1,32.18,24.64
b13.6,2013,chur,13MP02R,2,33.4,24.23
b13.6,2013,chur,13MP02R,3,31.14,25.33
b13.6,2013,chur,13MP02R,4,32.34,24.53
b13.6,2013,chur,13HP02,1,32.47,24.32
b13.6,2013,chur,13HP02,2,32.75,23.7
b13.6,2013,chur,13HP02,3,28.49,23.33
b13.6,2013,chur,13HP02,4,32.9,23.31
b13.6,2013,chur,13GB05,1,31.84,24.85
b13.6,2013,chur,13GB05,2,32.5,23.5
b13.6,2013,chur,13GB05,3,31.12,23.99
b13.6,2013,chur,13GB05,4,33.87,24.48
b13.6,2013,chur,13PR04,1,32.58,23.91
b13.6,2013,chur,13PR04,2,34.72,23.65
b13.6,2013,chur,13PR04,3,33.18,28.86
b13.6,2013,chur,13PR04,4,33.9,23.74
b13.6,2013,chur,13MP05R,1,31.23,24.21
b13.6,2013,chur,13MP05R,2,30.63,24.24
b13.6,2013,chur,13MP05R,3,31.75,23.39
b13.6,2013,chur,13BC02,1,31.24,24.67
b13.6,2013,chur,13BC02,2,32.51,24.06
b13.6,2013,chur,13BC02,3,31.35,24.58
b13.6,2013,chur,13BC02,4,30.86,24.96
b13.6,2013,chur,13PB01,1,31.16,24.72
b13.6,2013,chur,13PB01,2,34.18,23.87
b13.6,2013,chur,13PB01,3,33.57,24.44
b13.6,2013,chur,13PB01,4,32.91,24.28
b13.6,2013,chur,13PB02,1,33.05,23.01
b13.6,2013,chur,13PB02,2,32.88,23.22
b13.6,2013,chur,13PB02,3,32.36,23.23
b13.6,2013,chur,13PB02,4,31.95,23.48
b13.6,2013,chur,13PB03,1,33.16,24.03
b13.6,2013,chur,13PB03,2,34.41,24.16
b13.6,2013,chur,13PB03,3,32.66,24.17
b13.6,2013,chur,13PB03,4,33.16,24.15
b13.6,2013,chur,13BB01,1,33.87,23.84
b13.6,2013,chur,13BB01,2,33.01,24.4
b13.6,2013,chur,13BB01,3,32.95,24.48
b13.6,2013,chur,13BB01,4,33.58,24.42
b13.6,2013,chur,13EP01,1,31.1,23.87
b13.6,2013,chur,13EP01,2,31.67,23.37
b13.6,2013,chur,13EP01,3,31.15,23.51
b13.6,2013,chur,13EP01,4,31.25,23.53
b13.6,2013,chur,13EP02,1,32.93,24.14
b13.6,2013,chur,13EP02,2,32.73,24.0
b13.6,2013,chur,13EP03,1,34.0,23.61
b13.6,2013,chur,13EP03,2,35.01,23.54
b13.6,2013,chur,13EP03,3,34.6,23.93
b13.6,2013,chur,13EP03,4,35.33,23.64
b13.6,2013,chur,13PB04,1,31.02,23.59
b13.6,2013,chur,13PB04,2,32.8,23.32
b13.6,2013,chur,13PB04,3,29.98,24.14
b13.6,2013,chur,13PB04,4,32.48,22.95
b13.6,2013,chur,13PB04,5,32.74,25.58
b13.6,2013,chur,13PB05,1,33.22,24.27
b13.6,2013,chur,13PB05,2,33.96,24.11
b13.6,2013,chur,13PB05,3,35.09,23.44
