Code,Common_name,Scientific_name,Relevance
pefa,Peregrine Falcon,Falco peregrinus,Potential predator (avian)
pesa,Pectoral Sandpiper,Calidris melanotos,Study species
pobe,Polar bear,Ursus maritimus,Potential predator (mammal)
poja,Pomarine Jaeger,Stercorarius pomarinus,Potential predator (avian)
pusa,Purple Sandpiper,Calidris maritima,Study species
refo,Red fox,Vulpes vulpes,Potential predator (mammal)
rekn,Red Knot,Calidris canutus,Study species
reph,Red Phalarope,Phalaropus fulicarius,Study species
rlha,Rough-legged Hawk,Buteo lagopus,Potential predator (avian)
rnph,Red-necked Phalarope,Phalaropus lobatus,Study species
rnst,Red-necked Stint,Calidris ruficollis,Study species
rosa,Rock Sandpiper,Calidris ptilocnemis,Study species
rtpi,Rock Ptarmigan,Lagopus muta,Incidental monitoring
ruff,Ruff,Calidris pugnax,Study species
rutu,Ruddy Turnstone,Arenaria interpres,Study species; potential predator (eggs)
sacr,Sandhill Crane,Grus canadensis,Potential predator (avian)
sagu,Sabine's Gull,Xema sabini,Incidental monitoring
sand,Sanderling,Calidris alba,Study species
savs,Savannah Sparrow,Passerculus sandwichensis,Incidental monitoring
sbdo,Short-billed Dowitcher,Limnodromus griseus,Study species
sbgu,Slaty-backed Gull,Larus schistisagus,Potential predator (avian)
seow,Short-eared Owl,Asio flammeus,Potential predator (avian)
sepl,Semipalmated Plover,Charadrius semipalmatus,Study species
sesa,Semipalmated Sandpiper,Calidris pusilla,Study species
snow,Snowy Owl,Bubo scandiacus,Potential predator (avian)
spei,Spectacled Eider,Somateria fischeri,Incidental monitoring
spre,Spotted Redshank,Tringa erythropus,Study species
spsa,Spotted Sandpiper,Actitis macularius,Study species
spts,Sharp-tailed Sandpiper,Calidris acuminata,Study species
stsa,Stilt Sandpiper,Calidris himantopus,Study species
stwe,Short-tailed weasel,Mustela erminea,Potential predator (mammal)
test,Temminck's Stint,Calidris temminckii,Study species
thgu,Thayer's Gull,Larus thayeri,Potential predator (avian)
tusw,Tundra Swan,Cygnus columbianus,Incidental monitoring
tuvo,Tundra vole,Microtus oeconomus,Microtine (alternate prey for predators)
unfa,Unidentified falcon,,Potential predator (avian)
ungu,Unidentified gull,Larus sp.,Potential predator (avian)
unja,Unidentified jaeger,Stercorarius sp.,Potential predator (avian)
unle,Unidentified lemming or vole,Microtine sp.,Microtine (alternate prey for predators)
unra,Unidentified raptor,,Potential predator (avian)
vegu,Vega Gull,Larus vegae,Potential predator (avian)
wesa,Western Sandpiper,Calidris mauri,Study species
whim,Whimbrel,Numenius phaeopus,Study species
wipt,Willow Ptarmigan,Lagopus lagopus,Incidental monitoring
wisn,Wilson's Snipe,Gallinago delicata,Study species
wolv,Wolverine,Gulo gulo,Potential predator (mammal)
wosa,Wood Sandpiper,Tringa glareola,Study species
wrsa,White-rumped Sandpiper,Calidris fuscicollis,Study species
